,Neighborhood Tabulation Area (NTA) (2020),Total Savings,Job created
0,BK0101,10367.961794871795,16.0
1,BK0102,12599.753333333334,15.0
2,BK0103,19150.92285714286,0.0
3,BK0104,21158.253076923076,187.0
4,BK0201,15102.036363636364,0.0
5,BK0202,74011.2558974359,0.0
6,BK0203,54292.524999999994,300.0
7,BK0261,12876.958499999999,0.0
8,BK0301,57934.14166666666,8.0
9,BK0401,6128.9400000000005,14.0
10,BK0502,13810.223333333333,0.0
11,BK0503,62669.078888888886,415.0
12,BK0504,35063.956666666665,0.0
13,BK0601,25358.179523809526,97.0
14,BK0701,68502.11,0.0
15,BK0702,17596.18857142857,92.0
16,BK0802,3620.966590909091,0.0
17,BK1202,9642.914285714285,13.0
18,BK1302,36414.18,0.0
19,BK1403,388946.3071428571,0.0
20,BK1602,-3744.1044444444437,55.0
21,BK1701,12049.102,0.0
22,BK1702,37681.06555555555,22.0
23,BK1704,484.25600000000003,0.0
24,BK1801,610.958,0.0
25,BK1803,14783.474444444444,25.0
26,BX0101,17226.212931034483,106.0
27,BX0201,21078.529495798317,133.0
28,BX0302,36005.304000000004,21.0
29,BX0703,327206.672,0.0
30,BX1001,10510.395882352941,20.0
31,BX1102,726343.1799999999,0.0
32,BX1161,13164.977777777778,400.0
33,BX1202,20566.815714285713,0.0
34,MN0101,431063.85866666667,0.0
35,MN0102,47655.74800000001,4.0
36,MN0401,16967.113125,10.0
37,MN0501,17841.953333333335,8.0
38,MN0502,33844.037,0.0
39,MN0902,2398.261224489796,10.0
40,MN1001,20202.420000000002,0.0
41,MN1102,8909.400625,8.0
42,MN1201,1442.358,0.0
43,QN0101,14292.983783783784,100.0
44,QN0103,14084.895625,2.0
45,QN0104,25843.476363636364,23.0
46,QN0105,59201.95804597701,105.0
47,QN0161,2489.384,0.0
48,QN0201,27410.526875000003,78.0
49,QN0202,13586.924022988505,125.0
50,QN0203,6549.47090909091,10.0
51,QN0261,3965.347142857143,60.0
52,QN0402,18855.50909090909,10.0
53,QN0501,13278.137101449274,195.0
54,QN0502,11908.803529411765,3.0
55,QN0503,5468.0599999999995,10.0
56,QN0602,9785.966,0.0
57,QN0701,33604.16977272727,120.0
58,QN0702,96554.236,0.0
59,QN0707,17201.287500000002,0.0
60,QN0902,11662.949090909091,6.0
61,QN0904,1739.5158333333336,0.0
62,QN1002,6022.731111111111,0.0
63,QN1201,7259.248181818181,20.0
64,QN1203,16923.03,0.0
65,QN1205,27353.428888888888,0.0
66,QN1303,3592.2110000000002,10.0
67,QN1305,166379.352,0.0
68,QN1306,21160.5052,0.0
69,SI0106,6338.2528571428575,10.0
70,SI0107,113610.15999999999,300.0
71,SI0204,605464.8391666667,0.0
